epoch,D_loss,G_loss
1,0.6189932395778516,1.2808358442062435
2,0.5807158793151764,1.220322930551073
3,0.4603491217176892,1.7013808062301428
4,0.36574299569135094,2.2343311275270366
5,0.32291501757264396,2.6044514838356694
6,0.29741161694794443,2.788391557762827
7,0.29060627097402053,2.952274399601014
8,0.2822604301359432,3.001633479493912
9,0.2808098511420367,3.0482301025016434
10,0.26944013865754446,3.225254320943845
11,0.26485592653590023,3.2651074401674895
12,0.26336435369659106,3.3095722025551324
13,0.2537412480367354,3.3711413029203148
14,0.2565891473970454,3.410019355939394
15,0.2479882944694434,3.4691319612395946
16,0.2489699681535567,3.529377531370214
17,0.24382249395181327,3.5147075060891795
18,0.24847370092177065,3.5028351867173195
19,0.24219673172529865,3.5677958544078194
20,0.24143453634325937,3.5911980813316857
